assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,490887,None,,0,0,0,0,0.0,551,217,None,,0,2,0.5,0.5,0,Zach,0.0,0,0,0.0,571,217,705,False,0.0,567,217,0,,None,40,0,0,None,0,,490887.jpg,0.0,0,0,Awe,0.0,False,None,a,1,3,0.0,517,210,0,1268,94,564,57,0.0,0.0,Awe,0
0,0,0,None,None,0,232245,None,,0,0,0,0,0.0,525,199,None,,0,2,0.5,0.5,0,Zak,0.0,0,0,0.0,545,199,711,False,0.0,541,199,0,,None,40,0,0,None,0,,232245.jpg,0.0,0,0,Swanson,0.0,False,None,a,1,3,0.0,490,191,0,383,63,156,38,0.0,0.0,Swanson,0
0,2,126,100,100,2,101184,None,,0,0,-3,3,23.6,378,135,None,,1,2,5.2,4.7,0,Calum,5.2,11,1,24.1,351,124,10,False,160.0,301,115,621,,2022-01-13T23:00:13.596699Z,42,0,0,None,0,,101184.jpg,3.4,0,0,Chambers,0.4,False,None,a,2,7,57.0,321,105,27,36684,2108,37870,1650,1.2,6.4,Chambers,0
0,0,13,0,0,0,79852,None,,0,0,-1,1,0.0,490,18,None,,0,1,0.0,0.0,0,Jed,0.0,3,0,0.8,489,39,28,False,8.2,472,39,90,Joined Luton Town on loan until the end of the season - Expected back 01 Jul,2022-01-31T18:00:10.386198Z,39,0,0,None,0,,79852.jpg,1.0,0,1,Steer,2.0,False,None,u,2,7,0.0,454,5,1,325469,0,274464,2345,0.0,0.3,Steer,0
0,0,0,0,0,0,85242,None,,0,0,-1,1,0.0,680,279,None,,0,3,0.0,0.0,0,Conor,0.0,0,0,0.0,680,278,29,False,0.0,680,278,0,Joined Sheffield United on a season-long loan - Expected back 01 Jul,2021-08-31T07:00:13.054434Z,49,0,0,None,0,,85242.jpg,0.0,0,0,Hourihane,0.0,False,None,u,2,7,0.0,669,279,0,398,0,3117,2,0.0,0.0,Hourihane,0
0,7,515,100,100,9,98980,None,,0,0,0,0,0.0,700,81,None,,2,1,4.0,3.5,3,Emiliano,4.0,37,0,60.3,224,10,30,False,605.2,27,9,2520,,2021-10-13T23:00:12.628419Z,55,0,0,None,1,,98980.jpg,3.7,0,72,Martínez,11.9,False,None,a,2,7,0.0,699,80,103,666623,4792,2263656,10823,0.7,18.7,Martínez,4
0,0,0,0,0,0,108156,None,,0,0,0,0,0.0,603,232,None,,0,2,0.0,0.0,0,Björn,0.0,0,0,0.0,612,232,31,False,0.0,609,232,0,Transferred to Royal Antwerp,2021-06-25T10:09:04.469362Z,45,0,0,None,0,,108156.jpg,0.0,0,0,Engels,0.0,False,None,u,2,7,0.0,586,230,0,0,0,56,0,0.0,0.0,Engels,0
1,0,34,100,100,0,110504,None,,0,0,-3,3,9.0,427,201,None,,0,3,0.2,-0.3,1,Bertrand,0.2,3,0,8.9,423,188,32,False,15.4,459,195,170,,2022-02-11T14:30:13.245588Z,57,0,0,None,0,,110504.jpg,1.6,0,0,Traoré,0.3,False,None,a,2,7,68.0,307,157,11,13880,45,143513,84,0.0,1.9,Traoré,0
0,0,52,100,100,0,122775,None,,0,0,0,0,35.3,354,179,None,,0,3,0.5,0.0,0,Morgan,0.5,6,0,8.6,425,189,34,False,48.0,406,170,278,,2021-12-17T14:30:13.721741Z,50,0,0,None,0,,122775.jpg,1.2,0,0,Sanson,0.0,False,None,a,2,7,1.0,445,209,11,2413,18,2861,36,0.1,2.2,Sanson,0
2,8,361,100,100,8,122806,1,,0,0,-3,3,577.8,15,12,None,,2,3,2.2,1.7,1,John,2.2,34,3,132.5,46,31,35,False,513.4,64,24,2280,,2022-01-02T21:00:19.751877Z,57,0,0,None,0,,122806.jpg,3.1,0,0,McGinn,1.0,False,None,a,2,7,233.0,150,83,81,317929,462,332488,2390,0.4,14.2,McGinn,7
