first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Addji Keaninkin Marc-Israel,Guehi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39
Faustino,Anjorin,0,0,1,19,0,1.2,0.0,9.0,0,1,1.0,0,0,0,0.0,45
Armando,Broja,0,0,1,4,0,0.3,0.0,0.0,0,2,0.0,0,0,0,0.0,45
Patrick,van Aanholt,3,2,107,2334,34,496.1,500.6,238.0,12,502,123.6,8,0,0,5.6,56
James,Tomkins,1,1,48,1582,23,27.7,384.0,121.0,4,260,53.3,3,0,5,0.2,50
Mamadou,Sakho,0,0,9,727,17,14.6,141.6,6.0,0,114,16.3,0,1,0,0.1,50
Joel,Ward,0,1,72,2020,29,96.2,358.0,40.0,8,351,49.6,7,0,4,1.6,43
Scott,Dann,0,1,46,904,7,32.9,192.0,155.0,3,196,38.0,5,0,0,0.2,43
Martin,Kelly,0,1,64,1547,16,96.5,305.4,15.0,4,288,41.7,6,0,0,15.5,41
Christian,Benteke,2,1,43,1162,16,247.7,230.4,546.0,1,138,102.1,5,0,4,0.5,57
Connor,Wickham,1,1,15,90,2,34.5,59.8,64.0,2,48,15.8,0,0,0,1.8,43
Vicente,Guaita,0,0,128,2790,35,0.0,726.0,0.0,16,579,72.5,10,0,1,1.7,49
Wayne,Hennessey,0,0,7,270,8,0.0,110.4,0.0,0,58,11.0,0,0,0,0.6,42
Wilfried,Zaha,4,6,113,2919,39,529.2,536.8,928.0,4,327,199.7,9,0,4,8.4,66
Luka,Milivojevic,3,1,78,2341,34,476.4,434.6,183.0,9,362,109.4,7,0,10,1.9,67
Andros,Townsend,1,1,41,989,18,177.8,199.0,92.0,0,172,46.9,3,0,0,0.9,56
Max,Meyer,0,0,22,630,11,66.6,67.4,99.0,0,65,23.1,1,0,1,0.1,52
Jeffrey,Schlupp,2,1,40,856,12,95.3,198.0,233.0,3,121,52.7,4,0,2,0.1,54
James,McArthur,0,4,85,2816,33,410.2,535.8,383.0,2,385,133.1,11,0,6,0.6,52
Cheikhou,Kouyaté,1,2,81,2303,31,160.8,362.6,269.0,4,271,79.1,10,0,2,0.2,49
Luke,Dreher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
James,McCarthy,0,0,36,1361,23,207.1,221.8,65.0,0,171,49.4,2,0,7,0.8,43
Jordan,Ayew,9,2,121,2814,38,366.4,545.2,828.0,19,405,173.6,12,0,6,8.2,52
Gary,Cahill,0,1,70,2167,35,40.0,448.4,342.0,4,395,83.4,7,0,1,1.5,44
Víctor,Camarasa,0,0,1,5,0,0.1,0.2,0.0,0,3,0.0,0,0,0,0.1,45
Jairo,Riedewald,0,0,18,692,9,40.0,104.0,25.0,0,99,16.9,0,0,0,0.0,45
Stephen,Henderson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40
Sam,Woods,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39
Tyrick,Mitchell,0,0,1,7,1,0.4,1.0,0.0,0,2,0.1,0,0,0,0.1,40
Brandon,Pierrick,0,0,2,13,0,21.0,6.4,2.0,0,7,2.9,0,0,0,0.0,45
James,Daly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Nya,Kirby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Giovanni,McGregor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Nikola,Tavares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Alex,Iwobi,1,0,48,1495,29,347.5,236.6,320.0,2,213,90.4,3,0,0,0.9,56
Lucas,Digne,0,8,112,2691,43,1018.4,662.2,263.0,16,585,194.5,8,0,4,11.9,58
Yerry,Mina,2,1,77,2251,37,87.2,532.4,422.0,8,409,104.1,5,0,3,2.0,53
Michael,Keane,2,0,79,2196,35,67.1,545.8,196.0,6,413,81.1,6,0,1,2.1,52
Seamus,Coleman,0,1,52,1625,23,132.9,281.0,136.0,2,287,55.1,5,1,3,1.1,53
Leighton,Baines,0,1,12,335,6,97.5,73.8,5.0,0,78,17.7,0,0,0,0.2,49
Cenk,Tosun,2,0,24,462,6,63.4,89.0,229.0,1,86,37.7,2,0,0,0.1,57
Dominic,Calvert-Lewin,13,1,120,2331,38,236.5,553.6,1190.0,15,383,196.7,7,0,8,10.1,63
Jordan,Pickford,0,0,105,3060,49,3.0,681.2,0.0,5,560,68.2,8,0,2,6.3,52
Maarten,Stekelenburg,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,7.2,39
Richarlison,de Andrade,12,5,153,2756,45,469.1,771.4,1158.0,13,485,240.0,8,0,6,8.8,82
Gylfi,Sigurdsson,2,3,84,2271,39,701.6,406.4,449.0,7,348,155.8,5,0,3,2.4,73
Bernard,Anício Caldeira Duarte,3,2,67,1154,10,327.2,296.2,230.0,6,223,85.1,8,0,2,0.6,64
Theo,Walcott,1,3,49,1058,14,213.2,149.4,455.0,1,133,82.0,3,0,1,0.4,62
Tom,Davies,1,1,51,1699,28,114.4,231.8,261.0,3,192,60.7,4,0,7,0.1,53
Ademola,Lookman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Idrissa,Gueye,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Morgan,Schneiderlin,0,0,18,998,20,78.5,143.2,32.0,0,132,25.5,1,1,4,0.5,44
Fabian,Delph,0,0,24,1187,24,146.7,183.0,24.0,2,202,35.4,2,1,3,0.2,53
André Filipe,Tavares Gomes,0,0,26,1187,16,122.0,108.0,26.0,0,135,25.1,4,0,6,0.3,52
Lewis,Gibson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42
Mason,Holgate,0,4,70,2037,34,63.9,461.0,152.0,6,409,67.9,5,0,5,2.7,44
Jonas,Lössl,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,42
Moise,Kean,1,2,43,717,12,100.8,103.2,337.0,3,102,53.4,1,0,1,1.4,63
Jean-Philippe,Gbamin,0,0,4,135,0,6.3,20.0,0.0,0,14,2.6,1,0,0,0.0,48
Djibril,Sidibé,0,4,66,1696,29,319.4,432.2,121.0,9,351,87.2,4,0,3,0.6,50
Beni,Baningime,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Anthony,Gordon,0,1,13,315,2,85.7,58.6,28.0,1,48,17.1,0,0,0,0.1,45
Oumar,Niasse,0,0,3,19,2,1.8,7.0,0.0,0,1,0.9,0,0,0,0.0,45
Rhu-endly,Martina,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
João Manuel,Neves Virgínia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Jarrad,Branthwaite,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Ricardo Domingos,Barbosa Pereira,3,2,123,2520,27,446.5,738.0,235.0,11,568,141.9,10,0,1,8.0,62
Benjamin,Chilwell,3,3,114,2374,26,545.4,546.0,208.0,8,501,130.0,9,0,3,8.1,55
Jonny,Evans,1,2,127,3024,32,98.3,713.2,321.0,12,671,113.4,12,0,5,6.2,53
Christian,Fuchs,0,0,26,680,6,50.7,136.8,20.0,2,131,20.8,2,0,0,0.4,42
