assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,3,222,0,100,3,58822,0,0,-2,2,197.1,174,40,0,2,0.0,0.5,0,Cédric,0.0,18,0,59.7,216,61,486,False,291.2,203,78,1306,Facial Injury - Expected back 04 Jul,2020-06-19T23:30:18.204187Z,48,0,0,0,58822.jpg,2.7,0,0,Soares,0.2,False,None,i,1,3,107.0,251,70,43,24522,28,35709,919,0.0,9.0,Cédric,1
6,9,327,100,100,4,195735,0,0,-2,2,552.9,31,26,2,3,4.5,8.5,8,Nicolas,4.0,26,5,160.8,40,21,488,False,477.6,89,31,1673,,2019-12-11T12:30:12.556688Z,93,0,0,0,195735.jpg,3.8,0,0,Pépé,4.4,False,None,a,1,3,575.0,50,26,96,659453,3116,714948,36858,0.4,10.3,Pépé,3
1,0,69,100,100,2,200641,0,0,-2,2,95.9,251,142,0,3,1.5,2.5,2,Reiss,1.0,6,0,28.6,337,149,489,False,56.6,388,160,484,,2020-01-18T17:00:23.535651Z,53,0,0,0,200641.jpg,1.6,0,0,Nelson,0.1,False,None,a,1,3,134.0,223,117,21,13355,55,19241,209,0.2,4.0,Nelson,1
0,0,106,100,100,1,200089,0,0,-3,3,135.1,223,133,0,3,2.0,3.5,3,Joseph,1.5,14,0,38.5,309,136,490,False,109.8,344,143,642,,2019-09-07T11:30:17.190466Z,47,0,0,0,200089.jpg,1.2,0,0,Willock,0.2,False,None,a,1,3,138.0,219,114,26,28024,166,32886,308,0.3,5.5,Willock,1
1,5,129,100,100,2,444145,0,0,-1,1,36.6,338,52,0,4,0.5,0.5,0,Gabriel Teodoro,0.0,9,3,42.5,290,42,504,False,162.8,305,35,656,,2019-12-23T12:00:20.317919Z,44,0,0,0,444145.jpg,2.8,0,0,Martinelli Silva,2.9,False,None,a,1,3,226.0,148,41,39,574469,4194,471406,12501,0.0,8.9,Martinelli,1
0,0,73,100,100,0,192895,0,0,-2,2,76.3,272,80,0,2,1.0,1.5,1,Kieran,0.5,10,0,18.4,369,133,515,False,76.0,375,143,389,,2019-12-09T22:00:21.790216Z,53,0,0,0,192895.jpg,0.9,0,0,Tierney,0.4,False,None,a,1,3,31.0,354,128,6,87286,880,116287,1982,0.1,1.1,Tierney,2
5,2,200,100,100,4,223340,0,0,2,-2,240.2,139,85,0,3,4.0,7.5,7,Bukayo,3.5,15,0,66.4,191,99,541,False,248.8,239,94,1348,,2020-02-02T17:00:24.409161Z,47,0,0,0,223340.jpg,2.5,0,0,Saka,5.4,False,None,a,1,3,174.0,187,102,50,709009,35247,312727,28154,0.7,10.6,Saka,4
0,0,13,0,0,1,209289,0,0,-2,2,6.3,415,192,0,3,0.0,0.0,0,Emile,0.0,0,0,1.6,460,196,576,False,9.8,449,189,96,Joined Huddersfield Town on loan until the end of the season on 10/1. - Expected back 01 Aug,2020-01-10T20:00:21.634861Z,43,0,0,0,209289.jpg,2.0,0,0,Smith Rowe,0.0,False,None,n,1,3,0.0,528,215,4,5683,25,3834,101,0.0,0.9,Smith Rowe,0
0,0,0,0,0,0,232233,0,0,-1,1,0.0,565,77,0,4,0.0,0.0,0,Tyreece,0.0,0,0,0.0,578,76,585,False,0.0,574,76,0,Joined Lincoln City on loan until the end of the season on 10/1. - Expected back 01 Aug,2020-01-16T10:30:19.626655Z,44,0,0,0,232233.jpg,0.0,0,0,John-Jules,0.0,False,None,n,1,3,0.0,547,74,0,694,22,597,19,0.0,0.0,John-Jules,0
0,1,31,0,100,1,92371,-1,1,-3,3,1.7,436,161,0,2,0.0,1.5,1,Pablo,0.5,0,0,3.0,449,163,617,False,27.8,422,158,113,Ankle injury - Unknown return date,2020-06-17T22:00:17.468334Z,47,0,0,0,92371.jpg,4.0,0,0,Marí,0.1,False,None,i,1,3,0.0,592,207,8,13654,65,9032,2313,0.1,1.7,Marí,0
0,0,0,None,None,0,209037,0,0,0,0,0.0,497,188,0,2,1.6,2.8,0,Zech,0.0,0,0,0.0,516,186,636,False,0.0,512,186,0,,None,40,0,0,0,209037.jpg,0.0,0,0,Medley,0.0,False,None,a,1,3,0.0,466,178,0,223,223,37,37,0.0,0.0,Medley,0
1,5,161,None,None,1,37339,0,0,-4,4,220.1,157,36,0,2,0.0,-0.5,1,Ahmed,0.5,26,0,44.6,279,94,22,False,179.0,292,116,777,,None,41,0,0,0,37339.jpg,1.6,0,0,El Mohamady,0.9,False,None,a,2,7,46.0,327,113,21,85255,1712,159777,1540,0.1,5.1,El Mohamady,0
0,0,0,0,0,0,43252,0,0,-3,3,0.0,526,201,0,2,0.0,0.0,0,James,0.0,0,0,0.0,543,199,23,False,0.0,539,199,0,Joined Stoke City on loan until the end of the season on 31/1. - Expected back 01 Aug,2020-01-31T15:00:12.372885Z,42,0,0,0,43252.jpg,0.0,0,0,Chester,0.0,False,None,n,2,7,0.0,496,192,0,1957,1,8242,44,0.0,0.0,Chester,0
0,0,113,None,None,2,47390,0,0,-3,3,31.6,352,123,0,2,-0.5,-1.5,0,Neil,0.0,19,0,17.5,374,137,24,False,115.8,338,132,793,,None,42,0,0,0,47390.jpg,1.7,0,0,Taylor,0.2,False,None,a,2,7,27.0,358,129,17,24399,338,29548,470,0.0,4.0,Taylor,2
0,0,161,100,100,2,123354,0,0,-1,1,32.0,348,120,1,2,6.0,11.5,13,Kortney,6.5,26,1,52.0,246,76,25,False,295.0,201,77,1170,,2019-08-15T13:00:13.496241Z,44,0,0,0,123354.jpg,2.2,0,0,Hause,0.1,False,None,a,2,7,193.0,171,33,28,3843,1219,5512,233,1.5,6.4,Hause,2
0,0,14,0,0,0,54764,0,0,-1,1,12.2,399,61,0,4,0.0,0.0,0,Jonathan,0.0,6,0,3.8,441,62,26,False,3.4,469,65,111,Joined Al-Gharafa on a permanent deal on 20/1.,2020-01-08T20:30:20.825750Z,54,0,0,0,54764.jpg,0.8,0,0,Kodjia,0.1,False,None,u,2,7,24.0,367,61,5,4272,5,27860,19,0.0,0.9,Kodjia,1
0,0,69,100,100,1,98770,0,0,-2,2,0.0,547,50,0,1,3.5,6.5,8,Ørjan,4.0,10,0,8.4,405,28,27,False,83.2,368,28,357,,2019-07-30T15:00:08.973693Z,43,0,0,0,98770.jpg,2.2,0,12,Nyland,0.4,False,None,a,2,7,0.0,523,44,11,41541,11117,29718,5945,0.9,2.6,Nyland,0
2,6,235,100,100,3,85242,0,0,-3,3,387.2,69,52,2,3,2.0,3.5,5,Conor,2.5,28,3,89.6,130,72,28,False,282.4,209,83,1099,,2019-12-15T13:00:22.404997Z,57,0,0,0,85242.jpg,2.9,0,0,Hourihane,0.2,False,None,a,2,7,228.0,145,83,57,19588,201,29862,315,0.4,10.0,Hourihane,4
7,15,490,100,100,5,114283,0,0,4,-4,971.5,6,5,3,3,1.5,2.5,4,Jack,2.0,54,7,230.3,9,6,29,False,699.6,18,4,2513,,2019-10-26T18:30:22.524063Z,64,0,1,0,114283.jpg,4.4,0,0,Grealish,24.5,False,None,a,2,7,635.0,40,18,122,3314051,20711,1946844,159250,0.3,19.1,Grealish,8
5,0,253,100,100,5,193488,0,0,0,0,439.5,49,37,0,3,2.0,3.5,5,Anwar,2.5,42,4,140.4,57,33,30,False,359.6,165,63,1810,,2020-02-22T17:30:19.276253Z,55,0,0,0,193488.jpg,3.1,0,0,El Ghazi,1.0,False,None,a,2,7,605.0,46,22,84,305190,810,270172,12050,0.5,15.3,El Ghazi,3
2,4,267,100,100,4,122806,0,0,-1,1,377.8,72,53,0,3,2.0,3.5,5,John,2.5,32,3,117.9,78,44,31,False,396.8,143,53,1698,,2019-12-21T17:00:13.681907Z,54,0,0,0,122806.jpg,3.3,0,0,McGinn,3.4,False,None,a,2,7,407.0,70,37,66,1417346,2145,1405735,28647,0.5,12.2,McGinn,2
