assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,183,100,100,2,131897,None,,0,0,-3,3,0.3,454,7,None,,0,1,0.0,0.0,0,Mathew,0.0,20,0,17.8,361,21,70,False,178.0,257,21,1080,,2021-02-01T19:30:26.014607Z,42,0,0,None,0,,131897.jpg,2.4,0,23,Ryan,6.0,False,None,a,1,3,0.0,509,33,29,495657,668,1273796,4785,0.0,6.9,Ryan,1
7,6,246,75,75,2,47431,1,,0,0,-5,5,410.9,50,38,2,,1,3,1.7,1.7,0,Willian,2.3,16,0,79.9,127,70,478,False,187.2,252,106,1190,Calf injury - 75% chance of playing,2021-03-19T01:00:27.116549Z,75,0,0,None,0,,47431.jpg,3.0,0,0,Borges Da Silva,2.8,False,None,d,1,3,197.0,151,88,63,805834,85,1365117,9362,0.3,8.4,Willian,0
0,6,270,100,100,3,226597,None,,0,0,-1,1,24.6,366,133,None,,1,2,0.7,0.7,0,Gabriel,0.7,18,2,53.6,232,69,494,False,347.4,154,61,1366,,2020-12-26T18:00:16.873188Z,49,0,0,None,0,,226597.jpg,3.3,1,0,Magalhães,4.5,False,None,a,1,3,163.0,176,39,53,1031756,550,1180830,2527,0.1,10.8,Gabriel,1
2,3,230,100,100,4,182539,4,,0,0,-3,3,275.0,98,68,None,,0,3,0.3,0.3,0,Daniel,0.3,14,0,58.7,210,106,501,False,250.4,214,88,1117,,2021-01-18T22:00:23.859834Z,47,0,0,None,0,,182539.jpg,2.1,0,0,Ceballos Fernández,0.7,False,None,a,1,3,61.0,305,152,40,141280,106,244462,305,0.1,8.5,Ceballos,3
0,0,171,100,100,3,153256,None,,0,0,-3,3,77.9,265,155,None,,0,3,0.3,0.3,0,Mohamed Naser,0.3,14,0,22.7,346,158,526,False,121.8,316,138,1072,,2020-11-16T22:00:27.131231Z,42,0,0,None,0,,153256.jpg,1.8,0,0,El Sayed Elneny,1.0,False,None,a,1,3,29.0,351,168,29,291046,1092,282901,1989,0.1,6.9,Elneny,2
0,0,0,0,0,0,113534,None,,0,0,0,0,0.0,493,23,None,,0,1,0.0,0.0,0,Matt,0.0,0,0,0.0,522,50,527,False,0.0,515,51,0,Transferred to Hibernian,2021-01-09T10:26:30.856796Z,40,0,0,None,0,,113534.jpg,0.0,0,0,Macey,1.0,False,None,u,1,3,0.0,466,16,0,171821,0,143994,1075,0.0,0.0,Macey,0
0,0,8,100,100,0,115918,None,,0,0,-1,1,0.0,567,54,None,,0,1,0.0,0.0,0,Rúnar Alex,0.0,0,0,1.7,466,33,547,False,16.6,443,33,15,,2021-02-21T22:00:20.597889Z,44,0,0,None,0,,115918.jpg,1.0,0,2,Rúnarsson,0.0,False,None,a,1,3,0.0,549,48,1,5216,72,4849,76,0.0,0.2,Rúnarsson,0
1,0,169,100,100,3,167199,None,,0,0,-1,1,136.4,200,122,None,,0,3,2.0,2.0,2,Thomas,2.0,13,0,38.6,285,133,567,False,175.4,266,113,961,,2021-02-06T17:30:27.330271Z,49,0,0,None,0,,167199.jpg,1.9,0,0,Partey,0.3,False,None,a,1,3,73.0,282,140,28,118085,493,111505,520,0.4,5.7,Partey,3
0,3,96,None,None,0,184029,2,,0,0,0,0,159.1,188,114,None,,1,3,4.7,4.7,2,Martin,4.7,8,1,37.2,290,135,645,False,91.0,347,148,471,,None,60,0,0,None,0,,184029.jpg,2.6,0,0,Ødegaard,2.2,False,None,a,1,3,123.0,220,111,21,229691,20462,55300,24891,0.8,3.5,Ødegaard,0
0,23,638,None,None,14,98980,None,,0,0,9,-9,20.0,374,1,None,,2,1,3.2,2.7,1,Emiliano,3.2,30,0,76.2,142,4,12,True,745.0,8,4,2520,,None,54,0,0,None,1,,98980.jpg,5.5,0,99,Martínez,41.4,False,None,a,2,7,0.0,673,76,153,3834607,24429,1289553,24786,0.6,28.3,Martínez,0
0,0,0,100,100,0,21205,None,,0,0,0,0,0.0,581,57,None,,0,1,0.0,-0.5,0,Tom,0.0,0,0,0.0,601,76,28,False,0.0,595,76,0,,2020-08-15T10:00:11.430596Z,45,0,0,None,0,,21205.jpg,0.0,0,0,Heaton,0.1,False,None,a,2,7,0.0,565,51,0,5673,89,6818,103,0.0,0.0,Heaton,0
0,4,139,None,None,3,37339,None,,0,0,-2,2,134.0,202,50,None,,1,2,3.0,2.5,0,Ahmed,3.0,4,0,29.0,321,112,29,False,117.6,323,125,608,,None,43,0,0,None,0,,37339.jpg,2.7,0,0,El Mohamady,0.4,False,None,a,2,7,37.0,342,122,30,49101,397,53859,2100,0.7,7.0,El Mohamady,2
0,0,0,0,0,0,40564,None,,0,0,-2,2,0.0,535,208,None,,0,3,0.0,0.0,0,Henri,0.0,0,0,0.0,559,209,30,False,0.0,551,207,0,Not included in Aston Villa's 25-man Premier League squad,2020-10-20T22:30:18.217167Z,43,0,0,None,0,,40564.jpg,0.0,0,0,Lansbury,0.1,False,None,u,2,7,0.0,515,202,0,6231,0,19910,27,0.0,0.0,Lansbury,0
0,0,1,None,None,0,47390,None,,0,0,-3,3,0.7,448,175,None,,0,2,0.0,-0.5,0,Neil,0.0,2,0,0.2,486,180,31,False,0.8,482,180,15,,None,42,0,0,None,0,,47390.jpg,-1.0,0,0,Taylor,0.2,False,None,a,2,7,0.0,505,205,-1,17875,106,32700,150,0.0,-0.2,Taylor,1
0,0,0,None,None,0,79852,None,,0,0,-1,1,0.0,475,14,None,,0,1,0.0,-0.5,0,Jed,0.0,0,0,0.0,505,42,32,False,0.0,498,43,0,,None,39,0,0,None,0,,79852.jpg,0.0,0,0,Steer,4.4,False,None,a,2,7,0.0,444,7,0,366722,4093,396263,4418,0.0,0.0,Steer,0
1,3,70,0,0,2,85242,None,,0,0,-1,1,82.9,257,152,None,,1,3,0.0,0.0,0,Conor,0.0,2,1,18.2,360,163,33,False,65.4,378,163,225,Joined Swansea City on loan until the end of the season on 20/1,2021-01-20T23:00:22.557566Z,59,0,0,None,0,,85242.jpg,5.0,0,0,Hourihane,0.1,False,None,u,2,7,33.0,348,166,20,23841,0,27457,37,0.0,3.4,Hourihane,0
0,0,0,0,0,0,89274,None,,0,0,-1,1,0.0,682,277,None,,0,3,0.0,0.0,0,José Ignacio,0.0,0,0,0.0,683,277,34,False,0.0,681,277,0,Contract ended,2020-10-05T07:17:10.828418Z,59,0,0,None,0,,89274.jpg,0.0,0,0,Peleteiro Romallo,0.0,False,None,u,2,7,0.0,681,277,0,1439,0,7753,7,0.0,0.0,Jota,0
0,0,0,0,0,0,98770,None,,0,0,0,0,0.0,491,21,None,,0,1,0.0,0.0,0,Ørjan,0.0,0,0,0.0,520,48,35,False,0.0,513,49,0,Contract terminated on 5/10,2020-10-05T21:00:11.316167Z,40,0,0,None,0,,98770.jpg,0.0,0,0,Nyland,3.6,False,None,u,2,7,0.0,464,14,0,145134,0,933829,2152,0.0,0.0,Nyland,0
0,0,0,100,100,0,108156,None,,0,0,-1,1,0.0,566,226,None,,0,2,0.0,-0.5,0,Bjorn,0.0,0,0,0.0,588,225,36,False,0.0,581,225,0,,2020-11-19T11:00:18.103635Z,44,0,0,None,0,,108156.jpg,0.0,0,0,Engels,0.1,False,None,a,2,7,0.0,548,221,0,12019,25,19258,34,0.0,0.0,Engels,0
12,13,495,75,50,12,114283,3,,0,0,5,-5,953.2,4,4,2,,2,3,0.0,-0.2,0,Jack,0.0,24,6,249.1,5,4,37,False,668.6,16,7,1977,Lack of match fitness - 75% chance of playing,2021-02-21T17:00:26.185544Z,75,0,0,2,0,,114283.jpg,5.9,0,0,Grealish,17.5,False,None,d,2,7,871.0,16,8,129,5374065,18724,5054426,38990,0.0,17.2,Grealish,6
6,2,356,None,None,13,122806,None,,0,0,0,0,419.5,46,35,None,,0,3,1.8,1.3,1,John,1.8,30,1,107.3,75,47,38,False,391.6,126,45,2430,,None,55,0,0,None,0,,122806.jpg,3.1,0,0,McGinn,1.0,False,None,a,2,7,263.0,109,62,85,342546,906,326877,3054,0.3,15.5,McGinn,7
0,3,89,75,50,3,123354,None,,0,0,-1,1,1.5,438,172,None,,1,2,0.0,-0.2,0,Kortney,0.0,1,1,14.2,375,135,39,False,91.0,346,134,360,Lack of match fitness - 75% chance of playing,2021-01-26T11:00:18.448973Z,44,0,0,None,0,,123354.jpg,7.0,0,0,Hause,0.1,False,None,d,2,7,49.0,322,112,28,80409,7,79437,257,0.0,6.4,Hause,1
1,0,106,100,100,6,148508,None,,0,0,-3,3,174.0,171,107,None,,0,3,2.0,1.5,2,Mahmoud Ahmed,2.0,13,0,72.6,153,80,40,False,144.8,296,130,1048,,2020-12-15T11:30:19.909046Z,52,0,0,None,0,,148508.jpg,2.1,0,0,Ibrahim Hassan,0.5,False,None,a,2,7,412.0,56,32,40,61402,220,133451,510,0.4,7.7,Trézéguet,0
1,8,498,100,100,13,149484,None,,0,0,4,-4,68.2,274,74,None,,2,2,2.8,2.3,1,Tyrone,2.8,29,2,91.3,92,19,41,False,599.4,28,4,2384,,2020-12-26T17:00:15.486559Z,54,0,0,None,0,,149484.jpg,4.0,1,0,Mings,8.8,False,None,a,2,7,241.0,124,14,109,1619245,5566,1190222,13018,0.5,20.2,Mings,4
