id,xP
557,3.5
562,2.1
571,1.7
572,3.5
585,0.0
216,0.0
217,4.0
218,1.4
219,2.8
220,0.0
221,2.0
222,0.0
223,0.0
224,8.0
225,0.8
226,0.0
227,0.2
228,2.4
229,2.6
230,0.0
231,5.4
233,0.8
234,0.0
235,2.4
236,1.8
237,0.0
238,0.0
239,4.6
240,0.0
498,0.2
518,1.2
541,0.6
561,4.0
579,0.0
193,0.9
194,-0.5
195,2.1
196,0.0
197,0.9
198,3.1
199,0.0
200,3.9
201,2.3
202,4.1
203,3.9
204,2.3
205,-0.1
206,-0.1
207,0.0
208,0.0
209,-0.1
210,0.1
211,-0.5
212,0.0
213,3.3
214,-0.3
215,-0.5
491,0.0
492,3.1
532,-0.5
533,0.0
549,0.0
570,3.7
599,-0.5
241,0.0
242,0.0
243,5.2
244,5.8
245,1.0
246,4.3
247,0.0
248,1.8
249,7.2
250,0.0
251,5.0
252,3.6
253,3.8
254,11.2
255,6.0
256,1.2
257,0.0
258,3.2
259,3.8
260,0.0
261,1.8
263,2.6
264,2.4
265,0.0
468,0.0
531,0.0
560,2.4
589,1.4
594,1.4
601,1.0
607,1.0
266,2.2
267,0.0
268,1.2
269,0.0
270,6.0
271,4.8
272,8.2
273,6.6
274,5.4
275,6.8
276,7.2
277,5.2
278,6.2
279,1.2
280,1.0
281,1.6
282,3.2
283,0.0
284,2.2
285,1.0
286,3.4
287,3.4
288,0.0
537,1.0
538,1.0
539,1.0
552,1.0
556,6.4
595,1.0
608,2.0
609,2.2
289,0.0
290,1.5
291,1.9
292,0.0
293,0.5
294,0.0
295,1.3
296,3.9
297,0.0
298,2.5
299,1.9
300,2.5
301,0.5
302,8.1
303,5.5
304,0.0
305,1.5
306,6.5
307,0.5
308,4.5
309,5.3
310,0.5
311,1.7
312,0.5
313,2.7
314,0.0
315,3.1
316,0.0
317,0.0
318,0.7
319,0.5
495,1.5
568,2.1
569,2.9
575,0.5
604,0.5
320,0.5
321,2.3
322,1.3
323,2.0
324,4.3
325,4.0
326,0.0
327,0.0
328,0.1
329,3.0
330,0.0
331,0.0
332,2.0
333,1.0
334,0.7
335,1.3
336,1.5
337,0.0
338,0.1
339,4.3
340,5.5
341,0.0
342,0.0
480,2.7
485,3.0
487,0.5
488,0.5
497,2.0
506,7.3
507,2.0
513,2.3
602,0.5
606,0.5
262,1.0
343,0.2
344,3.6
345,1.2
346,2.4
347,0.6
348,0.0
349,0.2
350,0.0
351,1.4
352,0.4
353,1.0
354,0.0
355,0.8
356,0.2
357,1.1
359,0.6
360,0.3
424,1.8
477,0.0
483,2.0
509,0.8
510,1.4
511,0.4
529,0.0
580,0.0
603,0.0
148,2.6
361,-0.8
362,1.4
363,2.2
364,1.6
365,0.8
366,2.0
367,-1.0
368,1.8
369,3.2
370,3.4
371,0.0
372,0.0
374,0.0
375,2.2
376,4.0
377,2.8
378,-1.0
379,-1.0
380,-1.0
381,-1.0
382,0.4
479,-1.0
523,-1.0
524,-0.8
565,-0.6
590,-0.4
598,-1.0
383,5.2
384,0.0
385,2.6
386,1.6
387,0.0
388,5.4
389,3.4
390,6.4
391,3.0
392,0.8
393,0.0
394,0.4
395,0.8
396,2.2
397,0.0
398,0.0
399,0.0
400,1.8
401,0.0
402,0.0
403,1.6
404,0.0
405,1.4
406,0.0
457,0.0
482,0.0
521,0.0
542,3.0
543,0.2
564,0.0
584,1.4
56,-0.5
358,0.5
407,0.1
408,-0.1
409,-0.5
410,-0.3
411,2.1
412,0.0
413,1.5
414,0.0
415,0.1
416,0.0
417,3.5
418,0.0
419,2.1
420,0.0
